ID	분류	기능명	요구사항
M-FR-145	마이페이지	날짜별 활동 상세	특정 날짜 클릭 시 해당 날짜의 활동 내역을 확인할 수 있어야 한다.
M-FR-150	친구	친구 검색	닉네임으로 다른 사용자를 검색할 수 있어야 한다. (검색 허용한 사용자만)
M-FR-151	친구	친구 요청	다른 사용자에게 친구 요청을 보낼 수 있어야 한다.
M-FR-152	친구	친구 수락/거절	받은 친구 요청을 수락하거나 거절할 수 있어야 한다.
M-FR-153	친구	친구 목록	친구 목록을 조회할 수 있어야 하며, 온라인 상태가 표시되어야 한다.
M-FR-154	친구	친구 삭제	친구를 삭제할 수 있어야 한다.
M-FR-155	친구	사용자 차단	다른 사용자를 차단할 수 있어야 한다.
M-FR-160	DM	DM 전송	친구에게 1:1 다이렉트 메시지를 전송할 수 있어야 한다.
M-FR-161	DM	DM 목록	DM 대화 목록을 조회할 수 있어야 한다.
M-FR-162	DM	DM 읽음 표시	DM 메시지의 읽음/안읽음 상태가 표시되어야 한다.
M-FR-163	DM	DM 알림	새 DM 수신 시 푸시 알림이 발송되어야 한다.
M-FR-164	DM	이미지 전송	DM에 이미지를 첨부하여 전송할 수 있어야 한다.
M-FR-170	시스템	오프라인 캐싱	일부 데이터는 오프라인에서도 조회 가능해야 한다.
M-FR-171	시스템	백그라운드 동기화	앱 재시작 시 최신 데이터로 동기화되어야 한다.
M-FR-172	시스템	앱 업데이트 알림	새 버전 출시 시 업데이트 알림이 표시되어야 한다.
M-FR-180	퀴즈코스	카테고리별 퀴즈 조회	사용자는 스터디 주제 카테고리 기반 퀴즈 목록을 조회할 수 있어야 한다.
M-FR-181	퀴즈코스	소분류별 퀴즈	각 대분류 내 소분류별(백준, 운영체제, React, Spring 등) 퀴즈를 조회할 수 있어야 한다.
M-FR-182	퀴즈코스	레벨별 구성	퀴즈는 입문/기본/심화 레벨로 구성되어야 한다.
M-FR-183	퀴즈코스	직접 접근	사용자는 원하는 소분류의 특정 레벨에 직접 접근하여 퀴즈를 풀 수 있어야 한다.
M-FR-190	자유게시판	게시글 목록	프로젝트/공모전/채용 게시글 목록을 조회할 수 있어야 한다.
M-FR-191	자유게시판	게시글 작성	프로젝트 팀원 모집, 공모전 팀원 모집, 채용 공고 게시글을 작성할 수 있어야 한다.
M-FR-192	자유게시판	게시글 검색	제목, 내용, 카테고리로 게시글을 검색할 수 있어야 한다.
M-FR-193	자유게시판	게시글 상세	게시글 상세 내용과 댓글을 조회할 수 있어야 한다.
M-FR-194	자유게시판	게시글 댓글	게시글에 댓글 및 대댓글을 작성할 수 있어야 한다.
M-FR-200	퀴즈 대회	꼬멘틀 게임	매일 새로운 IT 용어를 추측하는 꼬멘틀(Wordle 스타일) 게임을 플레이할 수 있어야 한다.
M-FR-201	퀴즈 대회	꼬멘틀 힌트	시도 횟수에 따라 글자 위치, 포함 여부 등 힌트가 제공되어야 한다.
M-FR-202	퀴즈 대회	꼬멘틀 결과 공유	게임 결과를 이미지 또는 텍스트로 공유할 수 있어야 한다.
M-FR-203	퀴즈 대회	꼬멘틀 스트릭	연속 정답 기록(스트릭)이 저장되어야 한다.
M-FR-210	팀원모집	모집글 목록	해커톤/프로젝트/공모전 팀원 모집글 목록을 조회할 수 있어야 한다.
M-FR-211	팀원모집	모집글 작성	팀원 모집글을 작성할 수 있어야 한다.
M-FR-212	팀원모집	모집글 상세	모집글 상세 정보와 지원 현황을 확인할 수 있어야 한다.
M-FR-213	팀원모집	팀원 지원	모집글에 자기소개와 함께 지원할 수 있어야 한다.
M-FR-214	팀원모집	지원 현황	본인의 지원 현황을 확인할 수 있어야 한다.
